ABBR,NAME,CODE,DIV
ARI,ARIZONA CARDINALS,76,NFC WEST
ATL,ATLANTA FALCONS,68,NFC SOUTH
BAL,BALTIMORE RAVENS,56,AFC NORTH
BUF,BUFFALO BILLS,48,AFC EAST
CAR,CAROLINA PANTHERS,69,NFC SOUTH
CHI,CHICAGO BEARS,60,NFC NORTH
CIN,CINCINNATI BENGALS,57,AFC NORTH
CLE,CLEVELAND BROWNS,58,AFC NORTH
DAL,DALLAS COWBOYS,52,NFC EAST
DEN,DENVER BRONCOS,72,AFC WEST
DET,DETROIT LIONS,61,NFC NORTH
GB,GREEN BAY PACKERS,62,NFC NORTH
HOU,HOUSTON TEXANS,64,AFC SOUTH
IND,INDIANAPOLIS COLTS,65,AFC SOUTH
JAX,JACKSONVILLE JAGUARS,66,AFC SOUTH
KC,KANSAS CITY CHIEFS,73,AFC WEST
LAC,LOS ANGELES CHARGERS,75,AFC WEST
LAR,LOS ANGELES RAMS,77,NFC WEST
MIA,MIAMI DOLPHINS,49,AFC EAST
MIN,MINNESOTA VIKINGS,63,NFC NORTH
NE,NEW ENGLAND PATRIOTS,50,AFC EAST
NO,NEW ORLEANS SAINTS,70,NFC SOUTH
NYG,NEW YORK GIANTS,53,NFC EAST
NYJ,NEW YORK JETS,51,AFC EAST
OAK,OAKLAND RAIDERS,74,AFC WEST
PHI,PHILADELPHIA EAGLES,54,NFC EAST
PIT,PITTSBURGH STEELERS,59,AFC NORTH
SEA,SEATTLE SEAHAWKS,79,NFC WEST
SF,SAN FRANCISCO 49ERS,78,NFC WEST
TB,TAMPA BAY BUCCANEERS,71,NFC SOUTH
TEN,TENNESSEE TITANS,67,AFC SOUTH
WSH,WASHINGTON COMMANDERS,55,NFC EAST
